Architecture    Offer                   Publisher    Sku                              Urn                                                                         Version
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202410110                     24.04.202410110
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202410170                     24.04.202410170
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202411030                     24.04.202411030
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202501090                     24.04.202501090
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202502040                     24.04.202502040
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202502210                     24.04.202502210
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202504080                     24.04.202504080
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202505020                     24.04.202505020
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202505090                     24.04.202505090
Arm64           ubuntu-24_04-lts        Canonical    server-arm64                     Canonical:ubuntu-24_04-lts:server-arm64:24.04.202505210                     24.04.202505210
